"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jun 28, 2026","Dexas","=""581319892407161472""","74.63720","24060","0.6775%","184","25","42","37","88.0952%","561.77000","575.29000","232","31","47","42","0","89.3617%","651.73000","8.73197","575.29000"
"Jun 29, 2026","Dexas","=""581319892407161472""","72.62276","27351","0.4534%","176","22","41","38","92.6829%","634.79000","703.19000","220","27","48","45","0","93.7500%","738.13000","10.16389","703.19000"
"Jun 30, 2026","Dexas","=""581319892407161472""","66.85467","22322","0.4077%","138","11","42","39","92.8571%","707.03000","819.47000","185","19","53","48","0","90.5660%","920.06000","13.76209","819.47000"
"Jul 01, 2026","Dexas","=""581319892407161472""","83.17610","38026","0.3629%","205","23","38","30","78.9474%","568.95000","508.60000","275","30","42","34","0","80.9524%","643.18000","7.73275","508.60000"
"Jul 02, 2026","Dexas","=""581319892407161472""","82.83294","29872","0.4754%","152","30","49","40","81.6327%","587.96000","721.93000","187","37","63","51","0","80.9524%","975.74000","11.77961","721.93000"
"Jul 03, 2026","Dexas","=""581319892407161472""","80.67747","25406","0.4684%","182","19","31","29","93.5484%","431.15000","403.07000","210","23","35","29","0","82.8571%","455.06000","5.64048","403.07000"
"Jul 04, 2026","Dexas","=""581319892407161472""","83.66452","23314","0.5833%","104","12","20","18","90.0000%","288.02000","367.65000","146","19","27","25","0","92.5926%","392.98000","4.69709","367.65000"
"Jul 05, 2026","Dexas","=""581319892407161472""","83.77828","31454","0.4642%","158","18","29","24","82.7586%","370.91000","402.03000","210","35","36","29","0","80.5556%","466.51000","5.56839","402.03000"
"Jul 06, 2026","Dexas","=""581319892407161472""","83.36927","28360","0.4408%","107","11","28","25","89.2857%","398.55000","520.97000","143","17","43","37","0","86.0465%","627.49000","7.52663","520.97000"
"Jul 07, 2026","Dexas","=""581319892407161472""","83.29943","30066","0.3692%","149","18","38","30","78.9474%","761.15000","747.09000","191","24","44","36","0","81.8182%","848.55000","10.18674","747.09000"
"Jul 08, 2026","Dexas","=""581319892407161472""","83.24581","20723","0.5163%","140","12","28","20","71.4286%","761.01000","538.56000","190","20","37","28","0","75.6757%","920.14000","11.05329","538.56000"
"Jul 09, 2026","Dexas","=""581319892407161472""","83.03182","25274","0.2651%","113","11","19","19","100.0000%","223.28000","299.10000","169","20","26","24","0","92.3077%","324.73000","3.91091","299.10000"
"Jul 10, 2026","Dexas","=""581319892407161472""","83.40591","21192","0.3775%","139","18","23","22","95.6522%","385.51000","384.50000","194","27","29","25","0","86.2069%","597.38000","7.16232","384.50000"
"Jul 11, 2026","Dexas","=""581319892407161472""","82.83807","19721","0.4158%","143","14","19","16","84.2105%","268.85000","404.09000","198","20","29","25","0","86.2069%","459.69000","5.54926","404.09000"
